State,n_incidents,t_killed,t_injured,poverty_rate,unemployment_rate,income,abbr
 AK,303,67,68,15.30109669,5.591253739,64655, AK
 AL,1416,530,835,20.10026453,3.733828902,40892.40984, AL
 AR,754,193,404,19.24259552,3.14474952,39973.29091, AR
 AZ,572,281,296,20.02537004,3.8990085,45068, AZ
 CA,4432,1373,1892,15.520318,3.794569665,62172.37255, CA
 CO,784,192,296,12.3949245,2.868888521,58634.29412, CO
 CT,620,73,255,8.841533788,3.699089775,74496, CT
 DC,1142,100,340,16.51197,4.6519064,77649, DC
 DE,384,56,240,11.97454827,3.1315781,61294.66667, DE
 FL,3851,874,1702,15.89745874,3.219464953,48064.13559, FL
 GA,1952,644,1043,19.80747394,3.489982526,45439.21429, GA
 HI,59,7,20,11.20286823,2.5951545,70391.25, HI
 IA,579,69,229,11.11727189,2.160972585,53740.4717, IA
 ID,152,39,32,14.9876362,2.611426983,47117.29167, ID
 IL,5064,956,3625,13.32770968,3.272861687,55061.68852, IL
 IN,1450,398,729,12.83424386,2.689473757,52324.18421, IN
 KS,573,149,262,13.2888626,2.188216293,50344.39535, KS
 KY,969,261,493,20.30099743,3.184464818,42500.83696, KY
 LA,1949,539,1171,20.34276936,3.43065015,43459.57407, LA
 MA,1531,112,414,10.95561853,3.419457082,70695.09091, MA
 MD,1523,456,828,9.662422172,3.095022999,75692.14286, MD
 ME,66,9,7,13.25302073,2.77310242,51894.5, ME
 MI,1321,352,761,14.87107837,3.324965908,49904.75472, MI
 MN,754,113,281,10.96377645,2.146081841,58834.70588, MN
 MO,1690,595,910,16.4981916,2.801010931,45425.22222, MO
 MS,990,311,571,23.13521167,4.071557331,37686.91667, MS
 MT,150,36,32,14.93775793,2.348481608,47152.23077, MT
 NC,1983,514,1067,17.64387871,3.629645044,44799.05495, NC
 ND,129,15,31,12.46089159,1.675915005,62269.31579, ND
 NE,435,47,151,10.9890956,1.7719074,54660.64516, NE
 NH,52,6,4,8.894372563,2.432357625,64387.875, NH
 NJ,1232,243,627,10.23953764,3.714625738,77047.7619, NJ
 NM,436,123,138,21.50347879,3.523840691,44682.56522, NM
 NV,427,196,213,12.92305329,3.433164143,58047.71429, NV
 NY,1854,304,1038,13.36962921,3.204638754,59244.16071, NY
 OH,2656,686,1505,14.35343976,3.053383684,51517.33333, OH
 OK,852,247,380,16.60464018,2.621731479,45967.05263, OK
 OR,495,94,168,15.65799434,3.455846084,49741.29032, OR
 PA,2083,618,1159,12.31741571,2.946053525,53708.15, PA
 RI,172,11,75,10.9728456,3.591845433,66479.66667, RI
 SC,1629,372,758,19.35061215,3.8132813,42160.22222, SC
 SD,196,17,21,18.27102187,2.966140843,50435.3913, SD
 TN,1751,460,1130,17.31094682,3.236368836,44238.98684, TN
 TX,2815,1114,1521,15.56070441,2.688142427,51297.36029, TX
 UT,219,67,109,13.52301274,2.339931941,57048.47059, UT
 VA,1342,341,879,13.96600057,2.99724614,56304.93407, VA
 VT,35,3,1,11.00247016,2.43250195,57356.375, VT
 WA,857,224,346,14.65768351,3.199446414,55620.82143, WA
 WI,1361,209,515,11.74731768,2.374539988,54837.01961, WI
 WV,335,66,136,18.52751239,3.138952807,41654.14286, WV
 WY,88,9,13,10.55055081,2.349280577,61078.15385, WY